,S.no,Movies,Rating,Year,Duration,Actor
0,0,Beast,5.7, (2022,155,Thalapathy Vijay
1,1,Saani Kaayidham,7.6,2022,136,Akhilesh
2,2,Kaathu Vaakula Rendu Kaadhal,6.0,2022,157,Vijay Sethupathi
3,3,Master,7.3,2021,178,Thalapathy Vijay
4,4,Jai Bhim,8.9,2021,164,Suriya
5,5,Rocky,8.1,2021,129,Bharathiraja
6,6,Etharkkum Thunindhavan,6.7,2022,151,Suriya
7,7,Valimai,6.2,2022,178,Ajith Kumar
8,8,Mahaan,7.7,2022,163,Vikram
9,9,Maanaadu,8.4,2021,147,Silambarasan Rajendar
10,10,Taanakkaran,8.2,2022,141,Vikram Prabhu
11,11,Hey Sinamika,6.1,2022,150,Dulquer Salmaan
12,12,Vikram Vedha,8.2,2017,147,Madhavan
13,13,Soorarai Pottru,8.7,2020,153,Suriya
14,14,Kaithi,8.5,2019,145,Karthi
15,15,FIR,7.1,2022,156,Vishnu Vishal
16,16,Oh My Dog,7.3,2022,121,Aasha
17,17,Eega,7.7,2012,145,Sudeep
18,18,Doctor,7.5,2021,148,Sivakarthikeyan
19,19,Payanigal Gavanikkavum,8.0,2022,115,Lakshmi Priyaa Chandramouli
20,20,Kadaisi Vivasayi,8.9,2021,122,Nallandi
21,21,Mersal,7.5,2017,172,Thalapathy Vijay
22,22,Ratsasan,8.3,2018,170,Vishnu Vishal
23,23,Cobra,6.7,2022,120,Vikram
24,24,Bigil,7.2,2019,179,Thalapathy Vijay
25,25,Dheepan,7.0,2015,115,Jesuthasan Antonythasan
26,26,Ponniyin Selvan: Part One,,2022,165,Vikram
27,27,Game Over,8.3, (2019,102,Taapsee Pannu
28,28,Super Deluxe,8.3,2019,176,Vijay Sethupathi
29,29,Jigarthanda,5.7,2014,171,Siddharth
30,30,Kuthiraivaal,8.4,2021,125,Kalaiyarasan
31,31,96,3.1, (2018,158,Vijay Sethupathi
32,32,Idiot,8.5,2022,126,Shiva
33,33,Asuran,5.8,2019,141,Dhanush
34,34,Jagame Thandhiram,4.4,2021,158,Dhanush
35,35,Maaran,8.6,2022,130,Dhanush
36,36,Sarpatta Parambarai,6.8,2021,173,Arya
37,37,Sarkar,6.5,2018,163,Thalapathy Vijay
38,38,Selfie,8.7, (2022,128,Varsha Bollamma
39,39,Anbe Sivam,4.9,2003,160,Kamal Haasan
40,40,Madhagaja,4.6,2021,132,Sriimurali
41,41,Ra.One,6.5,2011,156,Shah Rukh Khan
42,42,Kuttram Kuttrame,,2022,107,Alex
43,43,Oh My Ghost,7.9,2022,180,Rakul Preet Singh
44,44,24,, (2016,164,Suriya
45,45,Pariyerum Perumal,8.7,2018,154,Kathir
46,46,Ghajini,7.5,2005,175,Suriya
47,47,Kadaseela Biriyani,7.5,2021,115,Vasanth Selvam
48,48,Thuppakki,8.0,2012,165,Thalapathy Vijay
49,49,English Vinglish,7.8,2012,134,Sridevi
